method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
no_aigc,0.1,0.0,ok,3.5260016478956984,3.5231947266028003,0.0,0.002806921292897905,1,1,0,0,0.0,0.39266666666666666,3.9266666666666663,0.35224444444444447,0.8970571590265989,15851,0.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.15,0.0,ok,0.002806921292897905,2.5160543708430402e-24,0.0,0.002806921292897905,1,0,0,1,0.9999999999995062,0.589,3.9266666666666663,0.5211111111107469,0.8847387285411663,4920,18529.99999995638,[4],"[0.0, 0.0, 0.0, 0.0, 0.9999999999995062, 0.0]",0.0,5
three_state,0.15,0.0,ok,0.002806921292897905,0.0,0.0,0.002806921292897905,1,0,0,1,1.0,0.589,3.9266666666666663,0.5211111111111111,0.8847387285417846,4920,18529.999999999996,[4],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0,0
no_aigc,0.15,0.0,ok,1.6721117740623375,1.6694554929813537,0.0,0.0026562810809837864,3,3,0,0,0.0,0.589,3.9266666666666663,0.5639111111111111,0.9574042633465385,25376,0.0,"[2, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.2,0.0,ok,0.002806921292897905,2.5160543708430402e-24,0.0,0.002806921292897905,1,0,0,1,0.9999999999995062,0.7853333333333333,3.9266666666666663,0.5211111111107469,0.6635540464058747,4920,18529.99999995638,[4],"[0.0, 0.0, 0.0, 0.0, 0.9999999999995062, 0.0]",0.0,9
three_state,0.2,0.0,ok,0.002806921292897905,0.0,0.0,0.002806921292897905,1,0,0,1,1.0,0.7853333333333333,3.9266666666666663,0.5211111111111111,0.6635540464063384,4920,18529.999999999996,[4],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0,0
no_aigc,0.2,0.0,ok,1.17069088174227,1.1680700981986476,0.0,0.0026207835436224095,4,4,0,0,0.0,0.7853333333333333,3.9266666666666663,0.7467555555555556,0.9508771929824562,33604,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.3,0.0,ok,0.0026659433920892136,0.0,0.0,0.0026659433920892136,2,0,0,2,1.0,1.178,3.9266666666666663,0.981111111111111,0.8328617242029805,9055,35094.99999999999,"[0, 4]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0,5
three_state,0.3,0.0,ok,0.0026659433920892136,0.0,0.0,0.0026659433920892136,2,0,0,2,1.0,1.178,3.9266666666666663,0.981111111111111,0.8328617242029805,9055,35094.99999999999,"[0, 4]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0,0
no_aigc,0.3,0.0,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.178,3.9266666666666663,1.0,0.8488964346349746,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
