method,budget_fraction,cost_ratio,base_cost_total,aigc_unit_cost,status,objective_normalized,budget,full_budget,total_payment,budget_utilization,active_clients,raw_clients,interior_clients,full_clients,active_original_samples,synthetic_samples_proxy,total_augmented_samples_proxy,mean_u_active,active_indices,u,missing_ratio,full_synthetic_n,normalized_absolute_gap,solver_failures
three_state,0.08,0.25,0.25,1.0,ok,0.42779808189943075,0.2541333333333333,3.1766666666666667,0.25,0.9837355718782792,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.08,0.25,0.25,1.0,ok,0.42779808189943075,0.2541333333333333,3.1766666666666667,0.25,0.9837355718782792,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.1,0.25,0.25,1.0,ok,0.002806921292897905,0.3176666666666667,3.1766666666666667,0.3027388888887703,0.9530080447705256,1,0,0,1,3049,12860.999999984624,15909.999999984624,0.9999999999997708,[3],"[0.0, 0.0, 0.0, 0.9999999999997708, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,8
three_state,0.1,0.25,0.25,1.0,ok,0.002806921292897905,0.3176666666666667,3.1766666666666667,0.30273888888888884,0.9530080447708986,1,0,0,1,3049,12861.0,15910.0,1.0,[3],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.1,0.25,0.25,1.0,ok,0.42779808189943075,0.3176666666666667,3.1766666666666667,0.25,0.7869884575026231,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.15,0.25,0.25,1.0,ok,0.002806921292897905,0.4765,3.1766666666666667,0.4391111111110521,0.9215343360147998,1,0,0,1,4920,18529.99999999294,23449.99999999294,0.9999999999999201,[4],"[0.0, 0.0, 0.0, 0.0, 0.9999999999999201, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,8
three_state,0.15,0.25,0.25,1.0,ok,0.002806921292897905,0.4765,3.1766666666666667,0.43911111111111106,0.9215343360149236,1,0,0,1,4920,18529.999999999996,23449.999999999996,1.0,[4],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.15,0.25,0.25,1.0,ok,0.42779808189943075,0.4765,3.1766666666666667,0.25,0.5246589716684156,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.2,0.25,0.25,1.0,ok,0.002806921292897905,0.6353333333333334,3.1766666666666667,0.5984833333333333,0.9419989506820564,1,0,0,1,15851,22968.999999999996,38820.0,1.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,5
three_state,0.2,0.25,0.25,1.0,ok,0.002806921292897905,0.6353333333333334,3.1766666666666667,0.5984833333333333,0.9419989506820564,1,0,0,1,15851,22968.999999999996,38820.0,1.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
